Flag,v_drift,v_drift_err,v_drift_theor,Fields_value,Turbulence_coeff,Bz,N_steps
ExB,17200.13955218503,1.375256194821308,17677.66952966369,14.142135623730951,0.0,0.0008,3000
ExB,34398.32093800552,1.3835289449270896,35355.33905932738,28.284271247461902,0.0,0.0008,3000
ExB,51599.4586561723,1.4007682882637065,53033.00858899106,42.42640687119285,0.0,0.0008,3000
ExB,68799.62460818862,1.3822412773553538,70710.67811865476,56.568542494923804,0.0,0.0008,3000
ExB,85996.99042456488,1.3595308934898216,88388.34764831843,70.71067811865476,0.0,0.0008,3000
gradB,47.92392956502513,63.271714488169735,50.60022208009071,7.810249675906655e-07,0.0,0.0008,3000
gradB,14.968264778112573,58.6964787337948,10.981383590309115,6.403124237432849e-07,0.0,0.0008,3000
gradB,16.20807431915931,66.79083583379818,10.879920662737787,9.219544457292886e-07,0.0,0.0008,3000
gradB,40.01844158739677,65.87470188671934,39.800311496398876,8.48528137423857e-07,0.0,0.0008,3000
gradB,77.59352159221179,44.363073889022644,77.02942528505095,5.65685424949238e-07,0.0,0.0008,3000
